# phase_3 profile dump
# day=2026-04-16 device=cuda n_steps=10419 rollout_wall_s=78.118 ms_per_step=7.498
# obs_dim=574 action_n=43 max_runners=14 races=56
# env+shim build_s=39.82
# python=3.14.3 torch=2.11.0+cu126

=== sorted by cumulative (top 50) ===
         40642834 function calls (40205106 primitive calls) in 77.890 seconds

   Ordered by: cumulative time
   List reduced from 462 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.085    0.085   78.118   78.118 C:\Users\jsmit\source\repos\rl-betfair\training_v2\discrete_ppo\rollout.py:239(collect_episode)
        1    1.363    1.363   78.032   78.032 C:\Users\jsmit\source\repos\rl-betfair\training_v2\discrete_ppo\rollout.py:271(_collect)
    10419    0.113    0.000   32.359    0.003 C:\Users\jsmit\source\repos\rl-betfair\agents_v2\env_shim.py:241(step)
229218/10419    0.473    0.000   26.466    0.003 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\torch\nn\modules\module.py:1775(_wrapped_call_impl)
229218/10419    0.910    0.000   26.404    0.003 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\torch\nn\modules\module.py:1783(_call_impl)
    10419    2.388    0.000   26.057    0.003 C:\Users\jsmit\source\repos\rl-betfair\agents_v2\discrete_policy.py:611(forward)
    10419    1.554    0.000   18.289    0.002 C:\Users\jsmit\source\repos\rl-betfair\agents_v2\env_shim.py:334(compute_extended_obs)
    10419    0.279    0.000   11.467    0.001 C:\Users\jsmit\source\repos\rl-betfair\env\betfair_env.py:2923(step)
   184766    3.675    0.000    9.942    0.000 C:\Users\jsmit\source\repos\rl-betfair\training_v2\scorer\feature_extractor.py:194(extract)
   125028    0.292    0.000    8.134    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\torch\nn\modules\linear.py:130(forward)
   125028    7.696    0.000    7.696    0.000 {built-in method torch._C._nn.linear}
    31257    0.322    0.000    6.373    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\torch\nn\modules\container.py:248(forward)
    10419    0.149    0.000    5.301    0.001 C:\Users\jsmit\source\repos\rl-betfair\env\betfair_env.py:2153(_get_obs)
   622310    0.675    0.000    5.207    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\numpy\_core\fromnumeric.py:2207(clip)
   622310    0.719    0.000    4.532    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\numpy\_core\fromnumeric.py:48(_wrapfunc)
    10419    1.001    0.000    4.398    0.000 C:\Users\jsmit\source\repos\rl-betfair\env\betfair_env.py:2189(_get_position_vector)
    10419    0.173    0.000    4.304    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\torch\distributions\categorical.py:144(sample)
    41676    3.947    0.000    3.947    0.000 {method 'copy_' of 'torch._C.TensorBase' objects}
     8484    0.902    0.000    3.877    0.000 C:\Users\jsmit\source\repos\rl-betfair\env\betfair_env.py:3242(_process_action)
   591599    1.118    0.000    3.495    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\numpy\_core\fromnumeric.py:38(_wrapit)
    10419    3.258    0.000    3.258    0.000 {built-in method torch.multinomial}
    10361    0.012    0.000    2.931    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\sklearn\isotonic.py:459(predict)
    10361    0.144    0.000    2.918    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\sklearn\isotonic.py:411(_transform)
    10419    0.409    0.000    2.675    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\torch\distributions\categorical.py:56(__init__)
   905597    1.637    0.000    2.617    0.000 {built-in method builtins.sum}
    10361    0.070    0.000    2.577    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\lightgbm\basic.py:4701(predict)
