# phase_3 profile dump
# day=2026-04-16 device=cpu n_steps=10419 rollout_wall_s=61.367 ms_per_step=5.890
# obs_dim=574 action_n=43 max_runners=14 races=56
# env+shim build_s=48.78
# python=3.14.3 torch=2.11.0+cu126

=== sorted by cumulative (top 50) ===
         40746142 function calls (40308414 primitive calls) in 61.128 seconds

   Ordered by: cumulative time
   List reduced from 462 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.038    0.038   61.366   61.366 C:\Users\jsmit\source\repos\rl-betfair\training_v2\discrete_ppo\rollout.py:239(collect_episode)
        1    1.017    1.017   61.327   61.327 C:\Users\jsmit\source\repos\rl-betfair\training_v2\discrete_ppo\rollout.py:271(_collect)
    10419    0.113    0.000   33.623    0.003 C:\Users\jsmit\source\repos\rl-betfair\agents_v2\env_shim.py:241(step)
229218/10419    0.478    0.000   19.975    0.002 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\torch\nn\modules\module.py:1775(_wrapped_call_impl)
229218/10419    0.854    0.000   19.922    0.002 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\torch\nn\modules\module.py:1783(_call_impl)
    10419    2.050    0.000   19.682    0.002 C:\Users\jsmit\source\repos\rl-betfair\agents_v2\discrete_policy.py:611(forward)
    10419    1.623    0.000   18.743    0.002 C:\Users\jsmit\source\repos\rl-betfair\agents_v2\env_shim.py:334(compute_extended_obs)
    10419    0.255    0.000   12.259    0.001 C:\Users\jsmit\source\repos\rl-betfair\env\betfair_env.py:2923(step)
   184766    3.932    0.000   10.591    0.000 C:\Users\jsmit\source\repos\rl-betfair\training_v2\scorer\feature_extractor.py:194(extract)
    31257    0.290    0.000    5.748    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\torch\nn\modules\container.py:248(forward)
    10419    0.146    0.000    5.744    0.001 C:\Users\jsmit\source\repos\rl-betfair\env\betfair_env.py:2153(_get_obs)
   622078    0.717    0.000    5.695    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\numpy\_core\fromnumeric.py:2207(clip)
   622078    0.766    0.000    4.979    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\numpy\_core\fromnumeric.py:48(_wrapfunc)
    10419    0.201    0.000    4.892    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\torch\nn\modules\rnn.py:1086(forward)
   125028    0.331    0.000    4.817    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\torch\nn\modules\linear.py:130(forward)
    10419    1.075    0.000    4.816    0.000 C:\Users\jsmit\source\repos\rl-betfair\env\betfair_env.py:2189(_get_position_vector)
   125028    4.338    0.000    4.338    0.000 {built-in method torch._C._nn.linear}
    10419    4.282    0.000    4.282    0.000 {built-in method torch.lstm}
     8484    0.971    0.000    4.236    0.000 C:\Users\jsmit\source\repos\rl-betfair\env\betfair_env.py:3242(_process_action)
   593505    1.238    0.000    3.906    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\numpy\_core\fromnumeric.py:38(_wrapit)
    10361    0.012    0.000    2.728    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\sklearn\isotonic.py:459(predict)
   905597    1.717    0.000    2.721    0.000 {built-in method builtins.sum}
    10361    0.135    0.000    2.716    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\sklearn\isotonic.py:411(_transform)
    10361    0.064    0.000    2.457    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\lightgbm\basic.py:4701(predict)
    10420    0.035    0.000    2.285    0.000 C:\Users\jsmit\source\repos\rl-betfair\agents_v2\env_shim.py:478(_update_history_for_current_tick)
   614227    0.396    0.000    2.244    0.000 {method 'clip' of 'numpy.ndarray' objects}
    10419    0.762    0.000    2.225    0.000 C:\Users\jsmit\source\repos\rl-betfair\training_v2\scorer\feature_extractor.py:140(update_history)
    10361    0.094    0.000    2.087    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\lightgbm\basic.py:1100(predict)
    10361    0.034    0.000    1.912    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\lightgbm\basic.py:1327(__pred_for_np2d)
    10361    0.259    0.000    1.899    0.000 C:\Users\jsmit\AppData\Roaming\Python\Python314\site-packages\sklearn\utils\validation.py:725(check_array)
