# CACHED full-agent profile
# day=2026-04-10 device=cpu lean=True
# wall=62.237 n_steps=11853 n_updates=744

=== cumulative (top 40) ===
         47244822 function calls (46676056 primitive calls) in 62.026 seconds

   Ordered by: cumulative time
   List reduced from 584 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   62.236   62.236 C:\Users\jsmit\source\repos\rl-betfair\training_v2\discrete_ppo\trainer.py:650(train_episode)
        1    0.032    0.032   49.821   49.821 C:\Users\jsmit\source\repos\rl-betfair\training_v2\discrete_ppo\rollout.py:239(collect_episode)
        1    1.083    1.083   49.789   49.789 C:\Users\jsmit\source\repos\rl-betfair\training_v2\discrete_ppo\rollout.py:271(_collect)
    11853    0.074    0.000   28.454    0.002 C:\Users\jsmit\source\repos\rl-betfair\agents_v2\env_shim.py:241(step)
    11853    0.783    0.000   16.246    0.001 C:\Users\jsmit\source\repos\rl-betfair\agents_v2\env_shim.py:334(compute_extended_obs)
277134/12597    0.460    0.000   15.681    0.001 C:\Users\jsmit\source\repos\rl-betfair\.venv\Lib\site-packages\torch\nn\modules\module.py:1775(_wrapped_call_impl)
277134/12597    0.591    0.000   15.633    0.001 C:\Users\jsmit\source\repos\rl-betfair\.venv\Lib\site-packages\torch\nn\modules\module.py:1783(_call_impl)
    12597    0.246    0.000   15.514    0.001 C:\Users\jsmit\source\repos\rl-betfair\agents_v2\discrete_policy.py:897(forward)
    12597    1.715    0.000   14.272    0.001 C:\Users\jsmit\source\repos\rl-betfair\agents_v2\discrete_policy.py:946(_forward_core)
        1    0.012    0.012   12.415   12.415 C:\Users\jsmit\source\repos\rl-betfair\training_v2\discrete_ppo\trainer.py:702(_update_from_batch)
        1    0.287    0.287   12.348   12.348 C:\Users\jsmit\source\repos\rl-betfair\training_v2\discrete_ppo\trainer.py:877(_ppo_update)
    11853    0.252    0.000    9.792    0.001 C:\Users\jsmit\source\repos\rl-betfair\env\betfair_env.py:3367(step)
   201596    0.109    0.000    8.512    0.000 C:\Users\jsmit\source\repos\rl-betfair\training_v2\scorer\feature_extractor.py:276(extract_array)
   201596    2.903    0.000    8.403    0.000 C:\Users\jsmit\source\repos\rl-betfair\training_v2\scorer\feature_extractor.py:296(_extract_into)
      744    0.004    0.000    6.217    0.008 C:\Users\jsmit\source\repos\rl-betfair\.venv\Lib\site-packages\torch\_tensor.py:576(backward)
      744    0.014    0.000    6.213    0.008 C:\Users\jsmit\source\repos\rl-betfair\.venv\Lib\site-packages\torch\autograd\__init__.py:253(backward)
      744    0.006    0.000    6.175    0.008 C:\Users\jsmit\source\repos\rl-betfair\.venv\Lib\site-packages\torch\autograd\graph.py:860(_engine_run_backward)
      744    6.169    0.008    6.169    0.008 {method 'run_backward' of 'torch._C._EngineBase' objects}
