cohort,selector,window,fc,n,mean_pnl_pd,mean_locked_pd,mean_naked_pd,mean_naked_std,n_profitable_agents,agent_ids
raceconf,score_a_pure_locked,oldwindow,0,5,-41.154879354770344,55.51221587973888,-83.02273200549378,341.96458409932296,2,"e716b410-539b-4889-ad91-a24921fcd046,609bf1a7-7680-4645-bd4b-643a5906a234,58a28e87-5ee8-4c6b-8791-027f1d942d99,4b4101b5-9ffa-40ce-87a5-6aea7fab3aa1,0de125f5-6489-4de4-b661-7b9cf29237e4"
raceconf,score_a_pure_locked,oldwindow,120,5,-57.75902145504582,60.92646967385976,-29.468650967687942,95.86203439472635,0,"e716b410-539b-4889-ad91-a24921fcd046,609bf1a7-7680-4645-bd4b-643a5906a234,58a28e87-5ee8-4c6b-8791-027f1d942d99,4b4101b5-9ffa-40ce-87a5-6aea7fab3aa1,0de125f5-6489-4de4-b661-7b9cf29237e4"
raceconf,score_a_pure_locked,newwindow,0,5,-6.390468581092941,26.577907404685497,-27.07532507652264,317.54157268590035,1,"e716b410-539b-4889-ad91-a24921fcd046,609bf1a7-7680-4645-bd4b-643a5906a234,58a28e87-5ee8-4c6b-8791-027f1d942d99,4b4101b5-9ffa-40ce-87a5-6aea7fab3aa1,0de125f5-6489-4de4-b661-7b9cf29237e4"
raceconf,score_a_pure_locked,newwindow,120,5,-23.74355603950836,29.14900861673642,-13.365866565624184,110.46565562832102,0,"e716b410-539b-4889-ad91-a24921fcd046,609bf1a7-7680-4645-bd4b-643a5906a234,58a28e87-5ee8-4c6b-8791-027f1d942d99,4b4101b5-9ffa-40ce-87a5-6aea7fab3aa1,0de125f5-6489-4de4-b661-7b9cf29237e4"
raceconf,score_b_per_leg_sharpe,oldwindow,0,5,-47.34436218351751,50.72835620400606,-85.27874128141285,480.0349431969993,1,"30017150-c468-43bb-9f07-d8cea97e5145,eb4c22b7-b42b-4c45-96b3-6c0f5ed0dc30,f096b9c3-7f22-433a-bf5b-dd55b556502f,cf5975e5-3dc6-4e85-8d26-77fb3d5f5451,429f3b17-5353-4d74-86f2-10c2bb878350"
raceconf,score_b_per_leg_sharpe,oldwindow,120,5,-60.27029959065278,56.56276513668477,-27.658824735710862,86.88990830296119,0,"30017150-c468-43bb-9f07-d8cea97e5145,eb4c22b7-b42b-4c45-96b3-6c0f5ed0dc30,f096b9c3-7f22-433a-bf5b-dd55b556502f,cf5975e5-3dc6-4e85-8d26-77fb3d5f5451,429f3b17-5353-4d74-86f2-10c2bb878350"
raceconf,score_b_per_leg_sharpe,newwindow,0,5,-17.313064134111823,23.8326113890802,-35.262509840510354,322.82889788026307,2,"30017150-c468-43bb-9f07-d8cea97e5145,eb4c22b7-b42b-4c45-96b3-6c0f5ed0dc30,f096b9c3-7f22-433a-bf5b-dd55b556502f,cf5975e5-3dc6-4e85-8d26-77fb3d5f5451,429f3b17-5353-4d74-86f2-10c2bb878350"
raceconf,score_b_per_leg_sharpe,newwindow,120,5,-25.699005245333638,26.683520820204876,-14.103771047700786,84.31437652969635,0,"30017150-c468-43bb-9f07-d8cea97e5145,eb4c22b7-b42b-4c45-96b3-6c0f5ed0dc30,f096b9c3-7f22-433a-bf5b-dd55b556502f,cf5975e5-3dc6-4e85-8d26-77fb3d5f5451,429f3b17-5353-4d74-86f2-10c2bb878350"
raceconf,score_c_daily_sharpe,oldwindow,0,5,-64.37768597214414,50.567184046758754,-102.34136422881119,452.4351062772124,0,"30017150-c468-43bb-9f07-d8cea97e5145,eb4c22b7-b42b-4c45-96b3-6c0f5ed0dc30,f096b9c3-7f22-433a-bf5b-dd55b556502f,cf5975e5-3dc6-4e85-8d26-77fb3d5f5451,be17ae1a-b90d-4c12-8136-a63fdc2ebb6d"
raceconf,score_c_daily_sharpe,oldwindow,120,5,-66.808675253958,56.8701912740098,-37.18017135974165,92.18432996931014,0,"30017150-c468-43bb-9f07-d8cea97e5145,eb4c22b7-b42b-4c45-96b3-6c0f5ed0dc30,f096b9c3-7f22-433a-bf5b-dd55b556502f,cf5975e5-3dc6-4e85-8d26-77fb3d5f5451,be17ae1a-b90d-4c12-8136-a63fdc2ebb6d"
