timestamp,available_mb,commit_gb,py_count,py_ws_gb,py_priv_gb
21:36:47,118926,24.7,0,0,0
21:36:52,118946,24.7,0,0,0
21:36:57,118924,24.7,0,0,0
21:37:02,118936,25.4,1,0.1,0.7
21:37:07,118179,26.3,1,0.7,1.5
21:37:12,118201,26.3,1,0.7,1.5
21:37:17,117844,26.9,1,1.1,2.1
21:37:22,117425,27.1,1,1.5,2.3
21:37:27,116888,27.6,1,1.9,2.8
21:37:32,116559,27.9,1,2.3,3.2
21:37:38,116420,28.1,1,2.4,3.3
21:37:43,116361,28.1,1,2.4,3.4
21:37:48,116278,28.4,1,2.5,3.5
21:37:53,116811,27.7,1,1.9,2.9
21:37:58,116517,28.1,1,2.4,3.4
21:38:03,116075,28.5,1,2.8,3.8
21:38:08,115851,28.7,1,3,4
21:38:13,115824,28.8,1,3,4.1
21:38:18,115745,28.8,1,3.1,4.1
21:38:23,116903,27.8,1,2,3.1
21:38:28,116731,28,1,2.2,3.3
21:38:33,116296,28.4,1,2.6,3.7
21:38:38,115945,28.7,1,2.8,3.9
21:38:43,115933,28.7,1,2.9,4
21:38:48,115833,28.8,1,2.9,4.1
21:38:53,116716,28,1,2.1,3.3
21:38:58,116714,28.1,1,2.2,3.3
21:39:03,116296,28.5,1,2.6,3.8
21:39:08,115981,28.7,1,2.8,4
21:39:13,115968,28.7,1,2.9,4
21:39:18,115888,28.8,1,2.9,4.1
21:39:23,116736,28.1,1,2.2,3.4
21:39:28,116658,28.1,1,2.2,3.3
21:39:33,116357,28.5,1,2.6,3.7
21:39:38,116008,28.7,1,2.8,4
21:39:43,115984,28.7,1,2.8,4
21:39:48,115914,28.8,1,2.9,4.1
21:39:53,116566,28.2,1,2.2,3.5
21:39:58,116605,28.1,1,2.2,3.4
21:40:03,116279,28.5,1,2.7,3.8
21:40:08,115851,28.9,1,3,4.1
21:40:13,115814,28.9,1,3,4.2
21:40:18,115739,29,1,3,4.2
21:40:23,115684,29,1,3.1,4.3
21:40:28,116578,28.1,1,2.3,3.4
21:40:33,116403,28.4,1,2.5,3.6
21:40:38,115933,28.8,1,2.9,4
21:40:44,115895,28.8,1,2.9,4.1
21:40:49,115834,28.8,1,3,4.1
21:40:54,115805,28.3,1,2.4,3.5
21:40:59,116508,28.2,1,2.3,3.4
21:41:04,116365,28.3,1,2.5,3.6
21:41:09,115950,28.8,1,2.9,4
21:41:14,115872,28.8,1,3,4.1
21:41:19,115793,28.9,1,3,4.1
21:41:24,115777,28.9,1,3,4.2
21:41:29,114255,34.1,9,6.2,9.3
21:41:34,112265,36.3,9,8.3,11.6
21:41:39,112074,36.4,9,8.3,11.6
21:41:44,112009,36.5,9,8.4,11.7
21:41:49,108743,41.3,9,12.4,16.5
21:41:54,107776,41.5,9,12.7,16.7
21:41:59,107526,41.5,9,13,16.8
21:42:04,107302,41.6,9,13.3,16.8
21:42:09,107037,41.7,9,13.7,16.9
21:42:14,106823,41.7,9,14,17
21:42:19,106585,41.8,9,14.3,17
21:42:24,106381,42,9,14.6,17.2
21:42:29,105951,42.6,9,15.2,17.8
21:42:34,105370,43.4,9,15.9,18.6
21:42:39,104596,44.1,9,16.4,19.3
21:42:44,104241,44.5,9,17,19.7
21:42:49,104049,44.7,9,17.2,19.9
21:42:54,103606,45,9,17.6,20.2
21:42:59,103093,45.5,9,18.3,20.7
21:43:04,102987,45.5,9,18.4,20.7
21:43:09,102870,45.4,9,18.6,20.7
21:43:14,102561,45.9,9,19.1,21.1
21:43:20,102276,46.4,9,19.4,21.6
21:43:25,101947,46.6,9,19.7,21.8
21:43:30,101770,46.6,9,19.9,21.8
21:43:35,101647,46.6,9,20.1,21.8
21:43:40,101221,46.9,9,20.4,22.1
21:43:45,101289,46.8,9,20.6,22.1
21:43:50,101223,46.8,9,20.6,22
21:43:55,101298,46.8,9,20.7,22.1
21:44:00,101136,47.4,9,20.8,22.6
21:44:05,101383,47.2,9,20.7,22.4
