experiment_id,session,timestamp,architecture,variant_label,arch_kwargs,feature_variant,train_corpus,horizons,output_formulation,quantiles,seed,param_count,train_seconds,infer_us_per_row,weights_path,config_hash,pinball_3m_q10,pinball_3m_q50,pinball_3m_q90,mae_3m,coverage_3m,calibration_gap_3m,dir_acc_k5_3m,dir_fires_k5_3m,dir_fire_rate_k5_3m,backtest_pnl_k5_3m,backtest_winrate_k5_3m,lag1_autocorr_q50_3m,pinball_7m_q10,pinball_7m_q50,pinball_7m_q90,mae_7m,coverage_7m,calibration_gap_7m,dir_acc_k5_7m,dir_fires_k5_7m,dir_fire_rate_k5_7m,backtest_pnl_k5_7m,backtest_winrate_k5_7m,lag1_autocorr_q50_7m,pinball_15m_q10,pinball_15m_q50,pinball_15m_q90,mae_15m,coverage_15m,calibration_gap_15m,dir_acc_k5_15m,dir_fires_k5_15m,dir_fire_rate_k5_15m,backtest_pnl_k5_15m,backtest_winrate_k5_15m,lag1_autocorr_q50_15m,pinball_3m_q30,pinball_3m_q70,pinball_7m_q30,pinball_7m_q70,pinball_15m_q30,pinball_15m_q70,pinball_1m_q10,pinball_1m_q50,pinball_1m_q90,mae_1m,coverage_1m,calibration_gap_1m,dir_acc_k5_1m,dir_fires_k5_1m,dir_fire_rate_k5_1m,backtest_pnl_k5_1m,backtest_winrate_k5_1m,lag1_autocorr_q50_1m
mlp_d2_s0_3b9846d0e3cd,smoke,2026-05-09T08:30:46.981780,mlp,d2,"{""depth"": 2, ""hidden"": 64, ""dropout"": 0.1}",V1,tvl_mask_29d,"3m,7m",pinball3,"0.1,0.5,0.9",0,5638,61.5,0.43,registry\predictor\mlp_d2_s0_3b9846d0e3cd.pt,3b9846d0e3cd,0.554066,0.916687,0.554825,1.833374,0.773,0.027,,0.0,0.0,0.0,,0.795,0.815032,1.447386,0.774391,2.894772,0.77,0.03,0.8378,37.0,0.0002,85.7986,0.8378,0.8822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_tw32_s0_135eacdc0945,smoke,2026-05-09T08:32:59.280761,lstm,tw32,"{""time_window"": 32, ""hidden"": 64, ""layers"": 2, ""dropout"": 0.1}",V1,tvl_mask_29d,"3m,7m",pinball3,"0.1,0.5,0.9",0,58822,67.0,4.71,registry\predictor\lstm_tw32_s0_135eacdc0945.pt,135eacdc0945,0.559228,0.917603,0.558696,1.835205,0.7851,0.0149,,0.0,0.0,0.0,,0.9497,0.826652,1.448345,0.786915,2.89669,0.7734,0.0266,,0.0,0.0,0.0,,0.9397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transformer_L4_s0_28bfba517c29,smoke,2026-05-09T08:35:54.881580,transformer,L4,"{""depth"": 4, ""d_model"": 64, ""heads"": 4, ""ctx_ticks"": 32, ""dropout"": 0.1}",V1,tvl_mask_29d,"3m,7m",pinball3,"0.1,0.5,0.9",0,203462,141.5,6.12,registry\predictor\transformer_L4_s0_28bfba517c29.pt,28bfba517c29,1.829422,1.240157,0.749862,2.480314,0.5311,0.2689,,0.0,0.0,0.0,,0.9936,1.187,1.890418,1.052289,3.780837,0.6689,0.1311,,0.0,0.0,0.0,,0.9918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv1d_k5_s0_ae30c96da60f,smoke,2026-05-09T08:37:16.004025,conv1d,k5,"{""kernel"": 5, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V1,tvl_mask_29d,"3m,7m",pinball3,"0.1,0.5,0.9",0,71366,64.6,2.42,registry\predictor\conv1d_k5_s0_ae30c96da60f.pt,ae30c96da60f,0.548331,0.91713,0.549966,1.834259,0.8231,0.0231,0.0,1.0,0.0,0.0,0.0,0.8933,0.813121,1.444079,0.770519,2.888157,0.812,0.012,0.809,89.0,0.0006,180.4265,0.809,0.8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gbm_t300_s0_a90ce4ee4d77,smoke,2026-05-09T08:37:46.884826,gbm,t300,"{""n_trees"": 200, ""max_depth"": 5, ""learning_rate"": 0.05}",V1,tvl_mask_29d,"3m,7m",pinball3,"0.1,0.5,0.9",0,997,23.3,3.99,registry\predictor\gbm_t300_s0_a90ce4ee4d77.joblib,a90ce4ee4d77,0.526734,0.916998,0.513759,1.833995,0.7863,0.0137,,0.0,0.0,0.0,,1.0,0.777144,1.445871,0.713044,2.891742,0.771,0.029,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp_d2_s0_45520c60c0e7,S03,2026-05-09T08:40:24.854802,mlp,d2,"{""depth"": 2, ""hidden"": 128, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,22153,47.1,0.54,registry\predictor\mlp_d2_s0_45520c60c0e7.pt,45520c60c0e7,0.555004,0.921873,0.551967,1.843747,0.7526,0.0474,0.84,25.0,0.0001,28.1299,0.84,0.8617,0.815742,1.451993,0.776512,2.903986,0.7487,0.0513,0.5483,445.0,0.0029,612.7742,0.5483,0.741,1.231249,2.207527,1.109173,4.415055,0.7177,0.0823,0.6434,516.0,0.0066,735.3868,0.6434,0.6666,,,,,,,,,,,,,,,,,,
conv1d_k3_s0_f3c2f5eea3a1,S03,2026-05-09T08:42:06.895990,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,48393,70.0,3.75,registry\predictor\conv1d_k3_s0_f3c2f5eea3a1.pt,f3c2f5eea3a1,0.531054,0.91344,0.539634,1.826881,0.7756,0.0244,0.75,4.0,0.0,7.6991,0.75,0.157,0.80041,1.440676,0.759702,2.881353,0.7516,0.0484,0.5563,773.0,0.005,971.6011,0.5563,0.4398,1.211445,2.176979,1.077908,4.353957,0.7361,0.0639,0.7146,953.0,0.0122,1231.6379,0.7146,0.547,,,,,,,,,,,,,,,,,,
conv1d_k3_s1_c66b29d46c5e,S03,2026-05-09T08:42:54.683975,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,48393,40.0,3.72,registry\predictor\conv1d_k3_s1_c66b29d46c5e.pt,c66b29d46c5e,0.545846,0.916374,0.541905,1.832749,0.7919,0.0081,,0.0,0.0,0.0,,0.204,0.806995,1.448977,0.765322,2.897954,0.7771,0.0229,0.6,60.0,0.0004,92.2349,0.6,0.4767,1.214063,2.211514,1.096713,4.423028,0.7482,0.0518,0.7607,305.0,0.0039,476.7447,0.7607,0.5652,,,,,,,,,,,,,,,,,,
conv1d_k3_s2_ce18f784e13d,S03,2026-05-09T08:43:51.770796,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,48393,49.4,3.75,registry\predictor\conv1d_k3_s2_ce18f784e13d.pt,ce18f784e13d,0.542685,0.918297,0.540814,1.836594,0.8072,0.0072,0.5,2.0,0.0,4.4735,0.5,0.1401,0.807728,1.454533,0.768412,2.909065,0.7991,0.0009,0.6,105.0,0.0007,251.1718,0.6,0.4973,1.199505,2.215278,1.100951,4.430557,0.7718,0.0282,0.6794,627.0,0.008,989.3933,0.6794,0.4868,,,,,,,,,,,,,,,,,,
conv1d_k5_s0_f01c5fc00475,S03,2026-05-09T08:44:54.888460,conv1d,k5,"{""kernel"": 5, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,77321,55.4,6.22,registry\predictor\conv1d_k5_s0_f01c5fc00475.pt,f01c5fc00475,0.539376,0.922389,0.537567,1.844778,0.7836,0.0164,,0.0,0.0,0.0,,0.3118,0.816209,1.465978,0.760183,2.931956,0.7567,0.0433,0.5868,547.0,0.0036,768.7204,0.5868,0.6239,1.248088,2.261638,1.112992,4.523276,0.7278,0.0722,0.6718,838.0,0.0108,1003.3873,0.6718,0.6953,,,,,,,,,,,,,,,,,,
