experiment_id,session,timestamp,architecture,variant_label,arch_kwargs,feature_variant,train_corpus,horizons,output_formulation,quantiles,seed,param_count,train_seconds,infer_us_per_row,weights_path,config_hash,pinball_3m_q10,pinball_3m_q50,pinball_3m_q90,mae_3m,coverage_3m,calibration_gap_3m,dir_acc_k5_3m,dir_fires_k5_3m,dir_fire_rate_k5_3m,backtest_pnl_k5_3m,backtest_winrate_k5_3m,lag1_autocorr_q50_3m,pinball_7m_q10,pinball_7m_q50,pinball_7m_q90,mae_7m,coverage_7m,calibration_gap_7m,dir_acc_k5_7m,dir_fires_k5_7m,dir_fire_rate_k5_7m,backtest_pnl_k5_7m,backtest_winrate_k5_7m,lag1_autocorr_q50_7m,pinball_15m_q10,pinball_15m_q50,pinball_15m_q90,mae_15m,coverage_15m,calibration_gap_15m,dir_acc_k5_15m,dir_fires_k5_15m,dir_fire_rate_k5_15m,backtest_pnl_k5_15m,backtest_winrate_k5_15m,lag1_autocorr_q50_15m,pinball_3m_q30,pinball_3m_q70,pinball_7m_q30,pinball_7m_q70,pinball_15m_q30,pinball_15m_q70,pinball_1m_q10,pinball_1m_q50,pinball_1m_q90,mae_1m,coverage_1m,calibration_gap_1m,dir_acc_k5_1m,dir_fires_k5_1m,dir_fire_rate_k5_1m,backtest_pnl_k5_1m,backtest_winrate_k5_1m,lag1_autocorr_q50_1m,pinball_1m_q30,pinball_1m_q70
conv1d_k3_s0_1d9ef47d581b,S04_neural,2026-05-09T11:40:37.074997,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V1,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,44937,428.0,3.61,registry\predictor\conv1d_k3_s0_1d9ef47d581b.pt,1d9ef47d581b,0.523601,0.915617,0.514048,1.831234,0.8033,0.0033,,0.0,0.0,0.0,,0.6526,0.777485,1.421028,0.72613,2.842056,0.7946,0.0054,0.6765,238.0,0.0015,215.621,0.6765,0.7379,1.17292,2.123787,1.030455,4.247574,0.7951,0.0049,0.8509,825.0,0.0106,920.4999,0.8509,0.7392,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s1_1a5c0c9d5b0b,S04_neural,2026-05-09T11:43:25.431067,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V1,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,44937,154.7,3.58,registry\predictor\conv1d_k3_s1_1a5c0c9d5b0b.pt,1a5c0c9d5b0b,0.542255,0.916216,0.540279,1.832432,0.8051,0.0051,0.25,8.0,0.0,14.3333,0.25,0.8916,0.807438,1.43893,0.751053,2.87786,0.8012,0.0012,0.8167,60.0,0.0004,166.7626,0.8167,0.7577,1.189174,2.16529,1.052352,4.330579,0.7986,0.0014,0.9282,209.0,0.0027,392.3854,0.9282,0.7934,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s2_f32a1e630400,S04_neural,2026-05-09T11:48:23.002022,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V1,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,44937,284.0,3.59,registry\predictor\conv1d_k3_s2_f32a1e630400.pt,f32a1e630400,0.522514,0.914519,0.52096,1.829039,0.8151,0.0151,,0.0,0.0,0.0,,0.8842,0.778208,1.425366,0.730348,2.850732,0.803,0.003,,0.0,0.0,0.0,,0.7905,1.166122,2.137196,1.040734,4.274391,0.7994,0.0006,0.9245,318.0,0.0041,354.731,0.9245,0.7436,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s0_5940b68ed1ca,S04_neural,2026-05-09T11:55:33.037139,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V2,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,46857,415.6,3.67,registry\predictor\conv1d_k3_s0_5940b68ed1ca.pt,5940b68ed1ca,0.52005,0.910019,0.513509,1.820038,0.7739,0.0261,,0.0,0.0,0.0,,0.8457,0.772061,1.417062,0.718647,2.834125,0.7598,0.0402,0.75,24.0,0.0002,23.546,0.75,0.7807,1.168986,2.132195,1.036155,4.264391,0.7545,0.0455,0.8988,168.0,0.0022,516.3066,0.8988,0.8111,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s1_cdd81313809f,S04_neural,2026-05-09T12:00:13.410766,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V2,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,46857,265.7,3.7,registry\predictor\conv1d_k3_s1_cdd81313809f.pt,cdd81313809f,0.524065,0.912586,0.509009,1.825172,0.789,0.011,1.0,1.0,0.0,1.1667,1.0,0.7261,0.77726,1.419314,0.712349,2.838628,0.7768,0.0232,0.7149,442.0,0.0029,325.3769,0.7149,0.8123,1.170079,2.127026,1.02333,4.254052,0.7668,0.0332,0.8955,201.0,0.0026,389.6157,0.8955,0.7486,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s2_741853d552d4,S04_neural,2026-05-09T12:04:36.050390,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V2,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,46857,248.1,3.69,registry\predictor\conv1d_k3_s2_741853d552d4.pt,741853d552d4,0.526696,0.917013,0.523257,1.834026,0.778,0.022,,0.0,0.0,0.0,,0.8511,0.784638,1.423792,0.72745,2.847584,0.7876,0.0124,,0.0,0.0,0.0,,0.7338,1.175053,2.145232,1.041774,4.290464,0.7804,0.0196,0.7857,14.0,0.0002,19.527,0.7857,0.8261,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s0_f7229db22c4b,S04_neural,2026-05-09T12:09:02.302969,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V3,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,48393,251.2,3.75,registry\predictor\conv1d_k3_s0_f7229db22c4b.pt,f7229db22c4b,0.532941,0.913042,0.519074,1.826084,0.7654,0.0346,0.3684,76.0,0.0004,15.3858,0.3684,0.0659,0.803311,1.428246,0.721222,2.856491,0.7571,0.0429,0.6821,302.0,0.002,177.6427,0.6821,0.3426,1.19882,2.147172,1.022657,4.294344,0.7529,0.0471,0.7644,225.0,0.0029,327.4016,0.7644,0.3947,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s1_e61935f3379f,S04_neural,2026-05-09T12:13:45.292279,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V3,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",1,48393,267.7,3.76,registry\predictor\conv1d_k3_s1_e61935f3379f.pt,e61935f3379f,0.530189,0.915271,0.517831,1.830542,0.7805,0.0195,0.6,75.0,0.0004,67.9305,0.6,0.3238,0.788536,1.431497,0.72518,2.862994,0.7691,0.0309,0.8767,146.0,0.001,158.3013,0.8767,0.4606,1.202489,2.14968,1.033196,4.299359,0.7533,0.0467,0.7946,1407.0,0.0181,1081.7443,0.7946,0.5516,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s2_9b112279c89e,S04_neural,2026-05-09T12:19:13.673939,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V3,tvl_mask_29d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",2,48393,313.0,3.71,registry\predictor\conv1d_k3_s2_9b112279c89e.pt,9b112279c89e,0.521268,0.912873,0.514282,1.825746,0.7868,0.0132,,0.0,0.0,0.0,,0.314,0.783631,1.428599,0.718556,2.857198,0.7651,0.0349,0.8011,176.0,0.0011,176.7984,0.8011,0.4481,1.179511,2.141888,1.0163,4.283775,0.7695,0.0305,0.9008,252.0,0.0032,373.4741,0.9008,0.4909,,,,,,,,,,,,,,,,,,,,
conv1d_k3_s0_358ebe0d2ec7,S04_neural,2026-05-09T12:20:03.144950,conv1d,k3,"{""kernel"": 3, ""layers"": 4, ""channels"": 64, ""dropout"": 0.1}",V3,tvl_required_10d,"3m,7m,15m",pinball3,"0.1,0.5,0.9",0,48393,40.6,3.68,registry\predictor\conv1d_k3_s0_358ebe0d2ec7.pt,358ebe0d2ec7,0.548958,0.917416,0.546705,1.834831,0.7632,0.0368,,0.0,0.0,0.0,,0.2533,0.826315,1.44164,0.766113,2.883279,0.7365,0.0635,0.5405,111.0,0.0007,261.1923,0.5405,0.4731,1.24045,2.187607,1.104172,4.375214,0.7137,0.0863,0.6873,742.0,0.0095,1058.0319,0.6873,0.5518,,,,,,,,,,,,,,,,,,,,
